r/R,pitch in deg,rad_pos,pitch_in_rad,NACA4409 norm_x,NACA4409 norm_height,"J1.3,rad_pos","J1.3,V_ax/V_inf","J1.3,V_tan/V_inf","J0.95,rad_pos","J0.95,V_ax/V_inf","J0.95,V_tan/V_inf","J1.6,rad_pos","J1.6,V_tan/V_inf","J1.6,V_ax/V_inf"
0.25,-5.335714286,0,-0.093125782,0,0,0,0.921721997,0.0975,0,1.174683544,0.231,0,0.0195,0.815151515
0.262076749,-5.321428571,0.003019187,-0.092876449,0.017223684,0.005,0.066037736,1.053522809,0.1275,0.051886792,1.313924051,0.3285,0.071428571,0.0195,0.989393939
0.279683973,-5.257142857,0.007420993,-0.091754452,0.037019737,0.008,0.141509434,1.117005016,0.171,0.146226415,1.412658228,0.417,0.204761905,0.069,1.02979798
0.297291196,-5.171428571,0.011822799,-0.090258456,0.051881579,0.011,0.226415094,1.167852878,0.204,0.221698113,1.491139241,0.4575,0.380952381,0.1125,1.085353535
0.313544018,-5.064285714,0.015886005,-0.08838846,0.070671053,0.013,0.311320755,1.213637449,0.2295,0.316037736,1.569620253,0.492,0.452380952,0.123,1.103030303
0.332505643,-4.921428571,0.020626411,-0.085895132,0.091473684,0.017,0.400943396,1.251839026,0.246,0.391509434,1.632911392,0.516,0.59047619,0.1335,1.138383838
0.35282167,-4.757142857,0.025705418,-0.083027806,0.116203947,0.02,0.466981132,1.279854311,0.2565,0.471698113,1.691139241,0.5295,0.738095238,0.1245,1.151010101
0.378555305,-4.528571429,0.032138826,-0.079038482,0.138960526,0.023,0.551886792,1.305385718,0.261,0.551886792,1.741772152,0.5295,0.866666667,0.108,1.145959596
0.409706546,-4.235714286,0.039926637,-0.07392716,0.158756579,0.026,0.632075472,1.3207786,0.255,0.632075472,1.789873418,0.513,1,0.051,1.034848485
0.438148984,-4,0.047037246,-0.06981317,0.180506579,0.028,0.712264151,1.338703129,0.243,0.70754717,1.812658228,0.501,,,
0.466591422,-3.771428571,0.054147856,-0.065823846,0.20425,0.031,0.787735849,1.349020779,0.2295,0.806603774,1.62278481,0.5445,,,
0.485553047,-3.628571429,0.058888262,-0.063330519,0.224006579,0.032,0.872641509,1.283412945,0.228,0.948113208,1.02278481,0.228,,,
0.504514673,-3.521428571,0.063628668,-0.061460523,0.246763158,0.035,0.943396226,1.136756628,0.171,1,0.936708861,0.0915,,,
0.5248307,-3.407142857,0.068707675,-0.059465861,0.268493421,0.036,1,1.005278242,0.087,,,,,,
0.546501129,-3.314285714,0.074125282,-0.057845198,0.291210526,0.037,,,,,,,,,
0.564108352,-3.278571429,0.078527088,-0.057221866,0.315901316,0.038,,,,,,,,,
0.576297968,-3.25,0.081574492,-0.056723201,0.345526316,0.039,,,,,,,,,
0.60744921,-3.242857143,0.089362302,-0.056598534,0.390940789,0.04,,,,,,,,,
0.630474041,-3.285714286,0.09511851,-0.057346533,0.418572368,0.04,,,,,,,,,
0.648081264,-3.342857143,0.099520316,-0.058343864,0.461973684,0.039,,,,,,,,,
0.665688488,-3.407142857,0.103922122,-0.059465861,0.507368421,0.039,,,,,,,,,
0.694130926,-3.564285714,0.111032731,-0.062208521,0.546822368,0.038,,,,,,,,,
0.721218962,-3.757142857,0.11780474,-0.065574513,0.601039474,0.035,,,,,,,,,
0.744243792,-3.964285714,0.123560948,-0.069189838,0.654289474,0.033,,,,,,,,,
0.793002257,-4.428571429,0.135750564,-0.077293153,0.700611842,0.03,,,,,,,,,
0.836343115,-4.857142857,0.146585779,-0.084773135,0.740026316,0.027,,,,,,,,,
0.769977427,-4.192857143,0.129994357,-0.073179162,0.776480263,0.024,,,,,,,,,
0.814672686,-4.635714286,0.141168172,-0.080908477,0.817848684,0.02,,,,,,,,,
0.864785553,-5.1,0.153696388,-0.089011792,0.900585526,0.012,,,,,,,,,
0.894582393,-5.35,0.161145598,-0.093375115,1,0,,,,,,,,,
0.88510158,-5.285714286,0.158775395,-0.092253118,,,,,,,,,,,
0.91489842,-5.478571429,0.166224605,-0.09561911,,,,,,,,,,,
0.935214447,-5.578571429,0.171303612,-0.097364439,,,,,,,,,,,
0.951467269,-5.621428571,0.175366817,-0.098112437,,,,,,,,,,,
0.96772009,-5.628571429,0.179430023,-0.098237104,,,,,,,,,,,
0.983972912,-5.6,0.183493228,-0.097738438,,,,,,,,,,,
1,-5.528571429,0.1875,-0.096491774,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
