,Va_J=0.95,,Va_J=1,,Va_J=1.6,,Va_J=1.8,,Va_J=1.3,,,,Vt_J=0.95,,Vt_J=1,,Vt_J=1.6,,Vt_J=1.8,,Vt_J=1.3,,,,,,,,,X_J=0.95,X_J=1,X_J=1.6,X_J=1.8,X_J=1.3
X,Y,X,Y,X,Y,X,Y,X,Y,,,X,Y,X,Y,X,Y,X,Y,X,Y,,,,,,,,,0,0,0,0,0
0,1.172151899,0,1.108860759,0,0.815189873,0,0.782278481,0,0.916455696,,,0,0.231,0,0.195,0,0.018,0,-0.0285,0,0.0915,,,,,,,,,0.0593884,0.056996163,0.057007448,0.059377116,0.054626495
0.056872038,1.318987342,0.061611374,1.270886076,0.056872038,0.979746835,0.061611374,0.949367089,0.056872038,1.06835443,,,0.061904762,0.342,0.052380952,0.3015,0.057142857,0.018,0.057142857,-0.0405,0.052380952,0.132,,,,,,,,,0.137756714,0.135387046,0.140137666,0.140148951,0.137767998
0.142180095,1.412658228,0.137440758,1.35443038,0.142180095,1.007594937,0.137440758,0.967088608,0.137440758,1.118987342,,,0.133333333,0.414,0.133333333,0.3765,0.138095238,0.0465,0.142857143,-0.0165,0.138095238,0.174,,,,,,,,,0.218517265,0.213777928,0.220898217,0.223279169,0.218517265
0.222748815,1.493670886,0.213270142,1.425316456,0.222748815,1.032911392,0.222748815,0.984810127,0.222748815,1.162025316,,,0.214285714,0.462,0.214285714,0.42,0.219047619,0.075,0.223809524,0.0105,0.214285714,0.204,,,,,,,,,0.299277815,0.296908147,0.30403972,0.304028436,0.299277815
0.303317536,1.562025316,0.298578199,1.493670886,0.303317536,1.058227848,0.308056872,1.002531646,0.303317536,1.202531646,,,0.295238095,0.495,0.295238095,0.4515,0.304761905,0.0975,0.3,0.03,0.295238095,0.2295,,,,RAW DATA TO THE LEFT,,,,,0.380038366,0.377668698,0.384800271,0.389550891,0.380038366
0.383886256,1.627848101,0.379146919,1.556962025,0.383886256,1.083544304,0.388625592,1.02278481,0.383886256,1.240506329,,,0.376190476,0.519,0.376190476,0.4725,0.385714286,0.1125,0.39047619,0.048,0.376190476,0.2475,,,,AVERAGED THE X COORDINATES,,,,,0.460810201,0.458429248,0.46793049,0.465560821,0.463179869
0.45971564,1.683544304,0.45971564,1.607594937,0.469194313,1.108860759,0.464454976,1.037974684,0.464454976,1.273417722,,,0.461904762,0.531,0.457142857,0.486,0.466666667,0.126,0.466666667,0.06,0.461904762,0.258,,,,TO THE RIGHT,,,,,0.54394042,0.539189799,0.546321372,0.546321372,0.54394042
0.545023697,1.736708861,0.54028436,1.655696203,0.545023697,1.126582278,0.545023697,1.053164557,0.545023697,1.301265823,,,0.542857143,0.531,0.538095238,0.4845,0.547619048,0.132,0.547619048,0.069,0.542857143,0.261,,,,,,,,,0.622320018,0.62470097,0.631832543,0.629451591,0.62470097
0.625592417,1.789873418,0.625592417,1.701265823,0.630331754,1.139240506,0.630331754,1.065822785,0.625592417,1.318987342,,,0.619047619,0.513,0.623809524,0.4695,0.633333333,0.1335,0.628571429,0.0735,0.623809524,0.2565,,,,,,,,,0.703091853,0.705461521,0.712593094,0.707842473,0.705461521
0.701421801,1.812658228,0.706161137,1.724050633,0.710900474,1.146835443,0.706161137,1.073417722,0.706161137,1.334177215,,,0.704761905,0.501,0.704761905,0.456,0.714285714,0.1275,0.70952381,0.0735,0.704761905,0.2415,,,,,,,,,0.798070413,0.793331077,0.793353645,0.793353645,0.786222072
0.81042654,1.617721519,0.800947867,1.617721519,0.791469194,1.149367089,0.791469194,1.075949367,0.786729858,1.344303797,,,0.785714286,0.5445,0.785714286,0.4845,0.795238095,0.1185,0.795238095,0.069,0.785714286,0.2295,,,,,,,,,0.869352291,0.874102911,0.871744527,0.876483864,0.871721959
0.872037915,1.329113924,0.876777251,1.288607595,0.867298578,1.141772152,0.876777251,1.073417722,0.876777251,1.26835443,,,0.866666667,0.4755,0.871428571,0.444,0.876190476,0.105,0.876190476,0.06,0.866666667,0.2295,,,,,,,,,0.945373505,0.945362221,0.954874746,0.957244414,0.954874746
0.943127962,1.02278481,0.947867299,1.020253165,0.952606635,1.086075949,0.957345972,1.048101266,0.952606635,1.103797468,,,0.947619048,0.219,0.942857143,0.225,0.957142857,0.0795,0.957142857,0.0435,0.957142857,0.1455,,,,,,,,,1,1,1,1,1
1,0.936708861,1,0.936708861,1,1.030379747,1,1.02278481,1,1.017721519,,,1,0.0975,1,0.0855,1,0.051,1,0.027,1,0.081,,,,,,,,,,,,,
